Chorągiew,Nazwa bazy/ośrodka,Województwo na terenie którego mieści się baza.,Adres bazy,Kontaktowy adres e-mail,Kontaktowy numer telefonu,Baza jest czynna:,"Formy, które można zorganizować na bazie:",Położenie bazy:,Charakterystyka terenu,Dostępne formy zakwaterowania na bazie:,Zaplecze sanitarne:,Usługi bazy:,Możliwości programowe bazy:,Inne,Czy prześlesz zdjęcia bazy e-mailem?,ostateczna_x,ostateczna_y
Podkarpacka,"Baza ZHP ""BERDO"" w Myczkowcach",podkarpackie,"38-623 Uherce Mineralne
Myczkowce
Ośrodek ZHP „BERDO” w Myczkowcach",berdo@zhp.pl,724626663,cały rok,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Harcerski Ośrodek „BERDO” jest pięknie położony na skraju dużego kompleksu leśnego, na stokach góry Berdo, bezpośrednio nad zalewem Myczkowieckim. Ośrodek posiada własną przystań oraz sprzęt wodny (rowerki, kajaki). Istnieje możliwość lokalizacji obozów w znacznej odległości od części stałej ośrodka. Na samym ośrodku funkcjonuje kilka niezależnych miejsc dla mniejszych obozów, w przyległych terenach mogą zostać zlokalizowane większe obozy. Położenie ośrodka pozwala na organizację wielu zajęć terenowych i specjalistycznych.",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;prąd dla obozów;,boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Baza znajduje się na stokach góry Berdo i od najbliższej wsi oddziela ją zalew Myczkowiecki. Baza nie posiada drogi dojazdowej - aby się na nią dostać, konieczny jest rejs łodzią (ok. 10 minut) z przynależącej do Bazy przystani bądź przebycie drogi szlakiem (ok. 30 minut). Specyficzne położenie ośrodka, oddzielonego od zamieszkałych miejscowości jeziorem i bez drogi dojazdowej, zapewnia spokój i bezpieczeństwo, warto jednak wziąć je pod uwagę przy planowaniu wyjazdu. ",tak,49.4234028,22.4160893
Mazowiecka,Stanica w Budach Michałowskich,mazowieckie,"Budy Michałowskie 77, kod pocztowy 96-316",jaktorow@zhp.pl,796669569,cały rok,zimowisko;biwak/rajd/weekendowe kursy;,w lesie;,"równinny typowo mazowiecki, dookoła lasy i pola, stadniny koni, dużo ciekawych szlaków rowerowych. W pobliżu rezerwat przyrody ""Dąbrowa Radziejewska"". Ok 5 km od stacji PKP Jaktorów i Międzyborów. ",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;,możliwość budowania pionierki;prąd dla obozów;,rowery;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;,"Baza to dawny budynek szkoła zaadaptowany na potrzeby Hufca. Przy budynku znajduje się rozległy teren biwakowy. W budynku jest kuchnia, prysznice. Najlepiej sprawdza się na biwaki i kursy. 
Biwaki pod namiotami - liczba miejsc nieograniczona
biwaki i kursy w budynku - maks 25 miejsc noclegowych",nie,52.050506,20.537789
Mazowiecka,"Stanica Harcerska ""Nasz Dom""",mazowieckie,09-227 Szczutowo,sierpc@zhp.pl,24 2752403,w sezonie letnim,obóz żeglarski;obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Stanica zlokalizowana jest nad Jeziorem Urszulewskim wśród suchych lasów liściasto-iglastych,

20 km na północny zachód od Sierpca.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;,"Dysponujemy:

- świetnym wyposażeniem gospodarczym i kuchennym,

- przestrzenną stołówko-świetlicą,

- kabinami prysznicowymi z ciepłą wodą oraz sanitariatami,

- boiska sportowe do piłki nożnej, siatkówki, koszykówki, badmintona, ringo,

- kąpielisko własne strzeżone,

to doskonałe atuty do wspaniałego aktywnego odpoczynku, realizacji atrakcyjnego programu obozowego.

Teren okalający stanicę pozwala na prowadzenie różnego rodzaju zajęć takich jak: gry i zabawy, biegi patrolowe, gry terenowe, INO, ogniska itp. 
",tak,52.975957,19.574212
Śląska,HSW - Harcerska Stanica Wodna 1 Harcerskiej Drużyny Wodnej im. Kpt. ż.w Mamerta Stankiewicza,śląskie,"44-203, Boguchwałowice, Nadbrzeżna 50",artur.tynski@zhp.net.pl,605102307,cały rok,Małe zloty ;biwak/rajd/weekendowe kursy;,Obok średniej wielkości lasu;nad jeziorem;,"Na około budynku wszędzie jest trawa, zadrzewienie w stopniu średnim. Na terenie bazy znajduje się plaża i keja. Całość terenu ogrodzona płotem. ",budynek;namioty (można rozbić własne namioty);,Kuchnia;toalety murowane;krany;prysznice;ciepła woda;,Sternik żaglówek;internet dostępny dla kadry;,"Plaża, teren zielony, miejsce na grilla ;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;",Toalety znajdują się na zewnątrz w osobnym budynku. Całodniowa opieka nad bazą. Sklep 15 min piechotą. Dojazd do bazy komunikacją miejską. Więcej informacji można znaleźć na stronie https://1hdw.zhp.net.pl/o-nas/stanica/.,tak,50.4413999,19.1807592
Gdańska,Harcerska Baza Obozowa Stare Karpno ,pomorskie,HBO Stare Karpno 83-424 Lipusz,stare.karpno@wp.pl,501853339,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Baza usytuowana jest pośrodku lasu głównie iglastego z przewaga sosen. Obozowa można dużym obozem, lub wieloma mniejszymi. Namioty ustawiane są między drzewami co pomaga w dużych upalach, oraz w dużych opadach deszczu. ",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,54.1205212,17.8058391
Gdańska,Harcerska Baza Obozowa w Czernicy,pomorskie,"89-632 Czernica, gmina Brusy, leśnictwo Czernica",czernica@zhp.gdynia.pl,667388412,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Nasza baza znajduje się w Borach  Tucholskich na terenie Zaborskiego Parku Krajobrazowego i na skraju Parku Narodowego „Bory Tucholskie”, nad bardzo czystym jeziorem Dybrzk. Położona jest w samym lesie, 4 km od najbliższej trasy samochodowej i linii kolejowej, pełna ciszy i leśnego spokoju gwarantuje zdrowy, radosny i aktywny wypoczynek wszystkim: od najmłodszych zuchów po najstarszych seniorów. Baza zajmuje powierzchnię ponad 11ha. Można zorganizować zarówno duży obóz dla całego Hufca jak i dla małej drużyny czy szczepu. ",poza sezonem istnieje możliwość zorganizowania biwaku w ogrzewanym budynku - nocleg na materacach w stołówce;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;,zadaszona wiata ogniskowa;boisko;kąpielisko;kajaki;żaglówki;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,53.845005,17.624295
Gdańska,Harcerska Baza Obozowa Papiernia ,pomorskie,Papiernia 83-424 Lipusz,malbork@zhp.pl ,790600612,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,,namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;,boisko;kąpielisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,54.1117625,17.7692007
Gdańska,HBO Winiec,warmińsko-mazurskie,"Harcerska Baza Obozowa Winiec
14-140 Miłomłyn",winiec@gdanska.zhp.pl,508082278.502505,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Baza posiada kilka miejsc na obozy. W sumie pomieści ok 200 osób. Położona nad samym jeziorem, w lesie mieszanym. Ok 7km od bazy przebiega droga S7. Na bazie znajduje się murowana kuchnia z zadaszoną stołówką. Baza posiada duże zaplecze żeglarskie.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,"menu (bezglutenowe, bezlaktozowe) ;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;",zadaszona stołówka;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;,,tak,53.801623,19.84142
Gdańska,"Harcerska Baza Obozowa ""Azymut"" w Rekowie",pomorskie,"Rekowo, 77-100 Bytów",bytow@zhp.pl,662-718-059,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Teren wokół bazy jest bardzo zróżnicowany, w najbliższej okolicy znajduje się kilka malowniczych jezior, a także najwyższa na pojezierzu bytowskim Góra Siemierzycka. Teren należący do bazy to duża działka niezadrzewiona, ale w najbliższym sąsiedztwie znajdują się polany leśne, na których, za zgodą Lasów Państwowych, można rozbić kilka mniejszych obozów. Teren doskonale nadaje się do bliższych i dalszych wędrówek, podziwiania przy tym ślicznych widoków i poznawania gościnności Kaszubów.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,miejsce wyznaczone do kąpieli (z badaniami wody prowadzonymi przez UM);boisko;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;,,tak,54.079183,17.428751
Gdańska,"HCEEiZR ""Leśna Stacja""  (dawniej HBO Leśna Huta)",pomorskie,"83-262 Czarna Woda, Leśna Huta 4, Leśnictwo Czarna Woda",biuro@lesnastacja.pl,48537111955,cały rok,Zielone Szkoły;obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;,w lesie;,"Bory Tucholskie - lasy iglaste i mieszane, wysoki las umożliwia biwakowanie w dowolnej konfiguracji namiotów. Teraz płaski.",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;,Zajęcia prowadzone przez edukatorów ekologicznych;boisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,53.88551,18.097447
Krakowska,Ośrodek w Korzkwi,małopolskie,"Ul. Eleonory Wodzickiej 2, 32-088 Korzkiew",pawel.grabka@zhp.net.pl,693913343,cały rok,obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;,"Ośrodek położony jest w odległości 15 kilometrów na północny-zachód Krakowa, w otulinie Ojcowskiego Parku Narodowego.
Ośrodek znajduje się w dwóch budynkach podworskich i pięciu domkach. Graniczy bezpośrednio z pięknym starym parkiem, w którym podziwiać można wiekowe, uznane już za pomniki przyrody drzewa. Nad ośrodkiem góruje wzgórze zamkowe z dobrze zachowanymi ruinami zamku z XIV wieku. (Zamek w trakcie odbudowy).
Korzkiew to znakomite położenie Ośrodka umożliwia obserwowanie w jego bezpośrednim sąsiedztwie wspaniałego świata przyrody. A przede wszystkim przepięknego jurajskiego krajobrazu z krainą głębokich, zalesionych dolinek z wapiennymi skałami o najbardziej fantastycznej rzeźbie.
Ośrodek stanowi doskonałą bazę wypadową do jednego z najpiękniejszych regionów w Polsce - Jury Krakowsko-Częstochowskiej. Prawdziwą perłą tej krainy jest Ojcowski Park Narodowy, z Doliną Prądnika, ze wspaniałym zamkiem w Pieskowej Skale, Jaskiniami: Ciemną i Łokietka oraz rzadkimi okazami roślin.",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;,boisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,50.1621549,19.8816994
Kujawsko-Pomorska,Harcerski Ośrodek Szkoleniowo - Wypoczynkowy Hufca ZHP Tuchola w Białej,kujawsko-pomorskie,"89-504 Legbąd, Biała 20, Leśnictwo Zielonka - Nadleśnictwo Woziwoda",tuchola@zhp.pl ,661496635,w sezonie letnim,"szkolenia, kursy, warsztaty;obóz/kolonia;biwak/rajd/weekendowe kursy;",w lesie;nad jeziorem;nad rzeką;,"a) 1,5 ha ośrodka: teren ogrodzony, oświetlony, drewniane domki kempingowe (4 i 8 osobowe) dla 100 osób, sanitariaty w murowanym budynku, całodobowo ciepła woda, stołówka murowana (jednorazowo 100 posiłków), boisko asfaltowe, świetlica 60 m kw w murowanym budynku. Idealne warunki dla zuchów!
b) pole namiotowe: 7,5 ha lasu w stuletnim drzewostanie z linią brzegową jeziora (500 m od ośrodka), realizujemy obozy z pełną pionierką (w tym latryny...) - idealne warunki dla harcerzy!
c) mamy własne rowery, kajaki, rowery wodne, sprzęt sportowy oraz sprzęt biwakowy dla 120 - 150 uczestników - są to namioty typu dziesiątka, łóżka polowe ze zintegrowanym materacem, kanadyjki, półki do namiotów itp.
d) na terenie ośrodka znajduje się murowany, dziewiętnastowieczny budynek z piecem kaflowym - mniejsze grupy mogą nocować wiosną i jesienią.","Budynek byłej szkoły może stanowić bazę dla 15 - 20 osób w okresie pozawakacyjnym - no, może z wyłączeniem zimy.;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);","obozy w lesie realizujemy z pełną pionierką, w tym z latrynami - za zgodą ALP i UM;toalety murowane;krany;prysznice;ciepła woda;",Wśród kadry Ośrodka całodobowo znajduje się zawsze kilkoro ratowników KPP. Opiekę medyczną zabezpiecza Miejskie Centrum Lekarskie w Tucholi oraz Szpital Tucholski (15 km);ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;sklepik;,"szkolenie strzeleckie prowadzone przez instruktorów strzelectwa sportowego, bojowego, dynamicznego i sytuacyjnego na obiektach pobliskiego Centrusz Szkolenia Strzeleckiego LP. Zajęcia prowadzą instruktorzy z najwyższymi kwalifikacjami i bogatym doświadczeniem sportowym, wojskowym i policyjnym (instruktorzy ZHP).;boisko;kąpielisko;kajaki;krąg ogniskowy;świetlica w budynku;","Doskonałe jedzenie, kadrę w całości stanowią instruktorzy i wędrownicy ZHP, bardzo spokojna i słabo zaludniona okolica, doskonała współpraca z ALP, policją, strażą, wszelkimi urzędami (wielu naszych instruktorów). Wody pierwszej klasy, rewelacyjne warunki przyrodnicze: rzeka Brda (3 km), Wielki Kanał Brdy (500 m), Jezioro Białe (0 - 500 m), rzeka Bielska Struga (700 m), rzeka Zwierzynka (1.000 m), liczne strumienie, stawy rybne, śródleśne jeziorka i oczka wodne, bagna i nieprzebyte kompleksy leśne ciągnące się aż na obrzeża Trójmiasta. Walorem może być również słabe pokrycie sygnałem sieci telefonii komórkowej... Pracownicy ALP chętnie przyjmują grupy harcerskie w Centrum Edukacji Przyrodniczej, gdzie w doskonały sposób opowiadają o tym co żyje i co słychać w Borach Tucholskich.",tak,53.679096,17.972605
Wielkopolska,Baza Imiołki,wielkopolskie,"62-265, Imiołki, gmina Kiszkowo, Leśnictwo Zakrzewo, ",jakub.pozniak@zhp.net.pl,57996522,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Nasza baza znajduje się nad Jeziorem Lednickim, w lesie mieszanym. Posiadamy 4 budynki zwane ""Zuchówkami"", które pomieszczą około 100 osób, dodatkowo posiadamy domki ""Kadrówki"" (w wakacje wykorzystywane przez kadrę bazy, poza sezonem istnieje możliwość ich wynajęcia). Baza posiada 4 miejsca przeznaczone na obozowiska pod namiotami.",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;,,tak,52.564899,17.383858
Ziemi Lubuskiej,Uście,lubuskie,"ul. Orchowa 4, 67-415 Uście",jaroslaw.zasacki@zhp.net.pl,607429314,cały rok,"warsztaty, szkolenie;obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;",niedaleko lasu;nad rzeką;,"Baza składa się porośniętej drzewami, dużej działki w środku niewielkiej miejscowości. Znajduje się tam budynek (pokoje, toalety, prysznice i krany), magazyny, dziesięć drewnianych trójkątnych domków i duży teren pod namioty. Działka graniczy z kanałem Obry, przy którym zlokalizowano niewielki pomost.",hamaki;budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;możliwość dostosowania menu;sklepik;prąd dla obozów;,kąpielisko;kajaki;krąg ogniskowy;świetlica w budynku;,"Jeżeli szukasz dobrego miejsca na biwak drużyny, warsztaty hufcowe, kurs dla kadry lub nawet obóz warto abyś zastanowił się nad bazą Chorągwi Ziemi Lubuskiej ZHP w Uściu, której dotyczy ta strona. Bliskość dwóch jezior, wielkiego i pełnego pięknych miejsc lasu czy samej bazy która mimo, że mieści się w centrum wioski jest oddalona od zgiełku. Na terenie bazy znajduje się budynek z 26 łóżkami, świetlica, trójkątne drewniane domki mieszczące około 30 osób i duże pole namiotowe – w razie potrzeby możemy zwiększyć ilość miejsc na łóżkach rozkładając dodatkowe kanadyjki z materacami.

Baza położona jest we wsi Uście k. Karkowej – 55 km od Międzyrzeckiego Rejonu Umocnionego, 45 km od Kożuchowa i 40 km od Zielonej Góry. Najbliższy przystanek komunikacji PKS znajduje się 10 km od bazy jednak w razie potrzeby możemy zapewnić transport sprzętu (np. plecaki, namioty, materiały programowe) samochodem z przyczepką. W razie potrzeby możemy doradzić lub pomóc ze zorganizowaniem transportu z Zielonej Góry lub Sulechowa gdzie znajdują się stacje PKP.

ADRES STRONY: https://bazauscie.pl",tak,52.009727,15.9501078
Główna Kwatera ZHP,"ZHP Ośrodek Szkoleniowo-Wypoczynkowy ""Perkoz""",warmińsko-mazurskie,"11-015, Olsztynek, Waszeta 1, Leśnictwo Nowe Ramuki",perkoz@zhp.pl,605826866,cały rok,"konferencje, szkolenia;obóz/kolonia;zimowisko;biwak/rajd/weekendowe kursy;",w lesie;nad jeziorem;,"Położenie Ośrodka to jeden z jego największych atutów. Jezioro Pluszne otwiera możliwość niezakłóconego odpoczynku oraz swobodnych zmagań z wiatrem i wodą. Wspaniały krajobraz i rozległe kompleksy Lasów Napiwodzko-Ramuckich należących do sieci NATURA 2000 dają wytchnienie i zachęcają do obcowania z przyrodą.Perkoz wykorzystuje te atuty. Udostępniamy gościom przystań z wypożyczalnią jachtów, kajaków i łodzi. Zapraszamy na naszą plażę i kąpielisko. Zachęcamy do wszelkich aktywności na świeżym powietrzu: na boiskach, w parku linowym i polu paintballowym. Spacer ścieżką edukacyjną to okazja do poszerzenia wiedzy i dodatkowej aktywności.„PERKOZ” to murowany, całoroczny, dwukondygnacyjny obiekt hotelowy. Do dyspozycji gości oddajemy 2, 3, lub 4 – osobowe pokoje z pełnym węzłem sanitarnym (WC, umywalka, prysznic). Łącznie są tu miejsca dla 160 osób. OŚRODEK JEST PRZYSTOSOWANY DLA OSÓB NIEPEŁNOSPRAWNYCH.",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;internet dostępny dla kadry;sklepik;prąd dla obozów;,boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,53.589541,20.381723
Podkarpacka,Majdańska Polana,lubelskie,"22-671 Majdan Sopocki Drugi, Majdańska Polana, Leśnictwo Kalina",lancut@zhp.pl,665774454,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Leśna polana w lesie o powierzchni umownej ponad 0,5 ha na terenie piaszczystym, w lesie sosnowym w niedalekiej odległości od zalewu z plażą i miejscem kapieliskowym oraz okolicznymi sklepami.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,możliwość budowania pionierki;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,"Baza rozbijana na potrzeby Hufca Łańcut z możliwością odstąpienia/ ustalenia okresów jej wykorzystania. Część kuchenna wraz z jadalnią w pełni wyposażone w niezbędny sprzęt, namioty w większości z podłogami drewnianymi, miejsce obfitujące w liczne szlaki piesze, rowerowe, atrakcje turystyczne. Na jednodniowe wycieczki polecamy niedaleki Zamość, Zwierzyniec bądź Krasnobród.",tak,50.463354,23.173228
Łódzka,Stanica Harcerska Trzy Morgi,łódzkie,"97-510, Stobnica 79A, leśnictwo Grzegorzówka",piotrkowtrybunalski@zhp.pl,721586514,cały rok,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad rzeką;,"Baza znajduje się w centrum Polski, gdzie dominują niziny. Pole namiotowe znajduje się w lesie. Można tam zmieścić około 40 namiotów. W okolicy znajduje się rzeka Pilica. Na polu leżącym bezpośrednio przy niej można rozbić około 15 namiotów. ",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,Prąd jest udostępniany w określonych warunkach;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;komputer dostępny dla kadry;,boisko;zadaszona świetlica;świetlica w budynku;,,tak,51.25709,19.894162
